Uhrzeit,Kurs,Ort,Tag
07:15 - 08:30,Aktiv Yoga am Morgen,Sports Club Hamburg Eppendorf,Montag
18:05 - 19:05,Zumba® (L1/L2),Niendorf,Montag
18:20 - 19:20,Les Mills BodyAttack…,Eppendorf,Montag
18:30 - 19:30,BikeIntense (L2/L3),Eppendorf,Montag
18:30 - 19:30,Hyrox (L2/L3) Klein,Eppendorf,Montag
18:30 - 19:30,Les Mills BodyPump® …,Jungfernstieg,Montag
18:30 - 19:30,Hyrox (L2/L3) Klein,Rödingsmarkt,Montag
18:30 - 19:00,Move It - Total Body (L… Klein,Stephansplatz,Montag
18:35 - 19:20,DanceMoves (L1),Rödingsmarkt,Montag
18:35 - 19:30,Les Mills BodyCombat…,Stephansplatz,Montag
18:35 - 19:20,AquaFit (L1/L2),Stephansplatz,Montag
18:40 - 19:00,PowerCore (L1/L2) Klein,Niendorf,Montag
18:45 - 19:15,Les Mills Grit® Streng…,Altona,Montag
18:45 - 19:45,BikeIntense (L2/L3),Niendorf,Montag
19:00 - 20:00,FunctionalLocal Class,Alsterufer,Montag
19:00 - 20:00,Hyrox (L2/L3) Klein,Eppendorf Straßenbahnri,Montag
19:10 - 20:10,AthleticFight (L2/L3),Bahrenfeld,Montag
19:10 - 20:10,YinYoga (L1/L2),Eppendorf,Montag
19:45 - 20:45,BODYPUMP,Holmes Place Bahrenfeld,Montag
20:10 - 21:10,Yin Yoga,Holmes Place Bahrenfeld,Montag
20:40 - 21:40,60 Min HYROX Foundation 🇩🇪,Holmes Place Bahrenfeld,Montag
08:15 - 09:15,Pilates (L1/L2),Eppendorf,Montag
20:15 - 21:00,FaszienYoga (L1/L2),St. Georg,Montag
20:00 - 21:00,Yoga (L1/L2),Eppendorf Straßenbahnri,Montag
18:05 - 19:05,VinyasaYoga (L1/L2),Eppendorf,Montag
20:00 - 21:00,CrossFit OnRampLocal Class,Eppendorf Straßenbahnri,Montag
19:40 - 20:35,Les Mills BodyBalanc…,Jungfernstieg,Montag
19:40 - 20:25,& Climb (L2/L3),Eppendorf,Montag
19:30 - 20:30,Zumba® (L1/L2),Altona,Montag
19:15 - 20:15,VinyasaYoga (L1/L2),St. Georg,Montag
19:15 - 20:15,BikeIntense (L2/L3),St. Georg,Montag
19:10 - 19:55,BBP (L1/L2),Niendorf,Montag
19:40 - 20:35,Les Mills BodyPump® …,Stephansplatz,Montag
18:00 - 18:30,Move It - Total Body (L… Klein,Niendorf,Montag
18:00 - 18:30,Les Mills Grit® Streng…,Stephansplatz,Montag
18:00 - 19:00,CrossFit WODLocal Class,Stadthöfe,Montag
12:30 - 13:00,Move It - Total Body (L… Klein,Rödingsmarkt,Montag
12:30 - 13:00,Move It - Total Body (L… Klein,St. Georg,Montag
12:30 - 13:00,Move It - Total Body (L… Klein,Jungfernstieg,Montag
12:30 - 13:15,Les Mills Shapes (L1/L…,Eppendorf,Montag
12:20 - 12:50,Les Mills Grit,Bahrenfeld,Montag
12:15 - 13:15,Yoga (L1/L2),Stephansplatz,Montag
12:30 - 13:00,Move It - Total Body (L… Klein,Stephansplatz,Montag
12:00 - 13:00,VinyasaYoga (L1/L2),Rödingsmarkt,Montag
11:15 - 12:15,Les Mills BodyBalanc…,Bahrenfeld,Montag
10:15 - 10:45,Move It - Total Body (L… Klein,Niendorf,Montag
10:10 - 11:10,Les Mills BodyCombat…,Bahrenfeld,Montag
10:00 - 11:00,Pilates (L1/L2),Stephansplatz,Montag
09:20 - 10:05,BBP (L1/L2),Eppendorf,Montag
09:00 - 10:00,Les Mills BodyPump V…,Bahrenfeld,Montag
11:15 - 12:15,& Beats (L2),St. Georg,Montag
19:30 - 20:30,Schwimmtraining - Fortgeschrittene II,Holmes Place Bahrenfeld,Montag
15:55 - 16:55,VinyasaYoga (L1/L2),Niendorf,Montag
17:00 - 18:00,YogiLates (L1/L2),Altona,Montag
18:00 - 19:00,Special (L1/… Klein,St. Georg,Montag
18:00 - 19:00,FunctionalLocal Class,Eppendorf Straßenbahnri,Montag
18:00 - 18:55,Les Mills BodyPump® …,Bahrenfeld,Montag
18:00 - 19:00,CrossFit WODLocal Class,Alsterufer,Montag
18:00 - 19:00,Hyrox (L2/L3) Klein,Altona,Montag
18:00 - 18:45,Les Mills BodyCombat…,Altona,Montag
16:50 - 17:50,BodyStyling (L1/L2),St. Georg,Montag
17:45 - 18:30,AquaFit (L1/L2),Stephansplatz,Montag
17:15 - 18:10,Les Mills LMI Step® (L…,Jungfernstieg,Montag
17:15 - 18:15,Hot Iron®2 (L2/L3),Eppendorf,Montag
17:00 - 18:00,VinyasaYoga (L1/L2),Niendorf,Montag
17:00 - 18:00,FunctionalLocal Class,Stadthöfe,Montag
17:00 - 18:00,Hyrox (L2/L3) Klein,Eppendorf Straßenbahnri,Montag
17:00 - 18:00,Yoga (L1/L2),Eppendorf,Montag
17:30 - 18:30,Barre Workout (L1/L2),Rödingsmarkt,Montag
19:20 - 20:05,Aqua,Holmes Place Bahrenfeld,Montag
07:00 - 07:55,Les Mills BodyPump® …,Stephansplatz,Montag
18:45 - 19:30,BODYCOMBAT,Holmes Place Bahrenfeld,Montag
17:40 - 18:40,BODYPUMP,Holmes Place Bahrenfeld,Montag
16:30 - 17:30,BODYBALANCE,Holmes Place Bahrenfeld,Montag
11:45 - 12:30,Aqua,Holmes Place Bahrenfeld,Montag
11:10 - 12:10,BODYBALANCE,Holmes Place Bahrenfeld,Montag
10:45 - 11:30,Aqua,Holmes Place Bahrenfeld,Montag
10:15 - 11:00,Rücken Fit,Holmes Place Bahrenfeld,Montag
10:00 - 11:00,BODYPUMP,Holmes Place Bahrenfeld,Montag
09:45 - 10:30,Aqua,Holmes Place Bahrenfeld,Montag
09:10 - 10:10,Pilates,Holmes Place Bahrenfeld,Montag
08:15 - 09:15,60 Min HYROX Power 🇩🇪,Holmes Place Bahrenfeld,Montag
08:00 - 09:00,Best Age,Holmes Place Bahrenfeld,Montag
07:00 - 08:00,60 Min HYROX Engine 🇩🇪,Holmes Place Bahrenfeld,Montag
19:00 - 19:45,HIIT Cycling,Holmes Place Bahrenfeld,Montag
17:00 - 18:00,60 Min HYROX Engine 🇩🇪,Holmes Place Bahrenfeld,Montag
16:30 - 17:30,Jumping Fitness,Holmes Place Bahrenfeld,Montag
18:00 - 18:45,Pilates LesMills,Sports Club Hamburg Eppendorf,Montag
18:30 - 19:30,Schwimmtraining - Fortgeschrittene I,Holmes Place Bahrenfeld,Montag
18:30 - 19:15,Aqua,Holmes Place Bahrenfeld,Montag
18:00 - 19:30,Schneller Laufen - Lauftraining für alle Level,Holmes Place Bahrenfeld,Montag
17:40 - 18:10,Les Mills SHAPES,Holmes Place Bahrenfeld,Montag
17:45 - 18:45,Indoor Cycling,Holmes Place Bahrenfeld,Montag
10:00 - 11:15,Yoga 75min,Sports Club Hamburg Eppendorf,Montag
20:00 - 21:00,Spinning,Sports Club Hamburg Eppendorf,Montag
18:50 - 19:50,Jumping Fitness,Sports Club Hamburg Eppendorf,Montag
13:00 - 13:30,The Trip virtuell,Sports Club Hamburg Eppendorf,Montag
17:30 - 18:30,Functional Training,Sports Club Hamburg Eppendorf,Montag
17:00 - 18:00,Zumba,Sports Club Hamburg Eppendorf,Montag
18:10 - 19:10,HathaYoga (L1/L2),Eppendorf,Dienstag
18:00 - 19:00,CrossFit WOD,Stadthöfe,Dienstag
18:30 - 19:15,BBP (L1/L2),Eppendorf,Dienstag
18:30 - 19:00,H.I.I.T. Tabata (L2/L3) Freestyle Klein…,Altona,Dienstag
18:10 - 18:55,Les Mills Dance® (L2) Dance,Jungfernstieg,Dienstag
18:00 - 19:00,Hyrox (L2/L3) Freestyle Klein…,Stephansplatz,Dienstag
18:00 - 19:00,Hyrox (L2/L3) Freestyle Klein…,Niendorf,Dienstag
18:10 - 19:10,& Climb (L2/L3),Eppendorf,Dienstag
18:35 - 19:20,Les Mills The Trip (L2/…,Bahrenfeld,Dienstag
18:30 - 19:00,Move It - Total Body (L… Freestyle Klein…,Rödingsmarkt,Dienstag
19:35 - 20:20,DanceMoves (L1) Dance,Rödingsmarkt,Dienstag
19:30 - 20:30,BootCamp (L2/L3),Eppendorf Straßenbahnri,Dienstag
19:20 - 20:20,Hot Iron®2 (L2/L3),Niendorf,Dienstag
19:20 - 20:15,Les Mills BodyCombat…,Eppendorf,Dienstag
19:15 - 20:15,YinYoga (L1/L2),Eppendorf,Dienstag
19:15 - 20:15,BikeIntense (L2/L3),Eppendorf,Dienstag
19:10 - 19:30,PowerCore (L1/L2) Freestyle Klein…,Rödingsmarkt,Dienstag
19:10 - 19:30,PowerCore (L1/L2) Freestyle Klein…,Altona,Dienstag
18:30 - 19:30,BoxCamp (L2),Eppendorf Straßenbahnri,Dienstag
19:05 - 20:00,Les Mills BodyAttack…,Jungfernstieg,Dienstag
19:00 - 20:00,Functional,Alsterufer,Dienstag
19:00 - 20:00,Zumba® (L1/L2) Dance,Altona,Dienstag
18:55 - 19:55,BikeIntense (L2/L3),Stephansplatz,Dienstag
18:40 - 19:00,PowerCore (L1/L2) Freestyle Klein…,Eppendorf,Dienstag
18:35 - 19:30,Les Mills BodyCombat…,St,Dienstag
18:00 - 18:45,& Beats (L2),St,Dienstag
18:30 - 19:15,Les Mills BodyBalanc…,Niendorf,Dienstag
18:30 - 19:30,HathaYoga (L1/L2),Rödingsmarkt,Dienstag
19:00 - 20:00,Olympic Weightlifting,Eppendorf Straßenbahnri,Dienstag
18:00 - 19:00,Olympic Weightlifting,Eppendorf Straßenbahnri,Dienstag
17:15 - 18:00,BikeBasics (L1),Eppendorf,Dienstag
